sku,week,channel,region,units_sold,stock_available,promotion_flag,price_unit,delivery_days,is_holiday_peak,week_number,month,year,is_holiday_week,is_summer,is_winter,sku_age,lifecycle_stage,lag_1,lag_2,rolling_mean_4,rolling_std_4,momentum,target_next_week,price_avg,promo_rate,stock_avg,deliveries,avg_temp,inflation_index,school_in_session,category_trend,event_score
MI-006,2022-02-14,Discount,PL-Central,73,160.33333333333334,1,6.103333333333333,3.333333333333333,False,7,2,2022,0,0,1,4,Growth,93.0,57.0,69.0,16.57307052620807,36.0,78.0,6.103333333333333,0.1666666666666666,160.33333333333334,6,10.74507122951685,99.77523459810732,1,1.0,0.0
MI-006,2022-02-14,E-commerce,PL-Central,86,144.85714285714286,1,4.447142857142857,3.857142857142857,False,7,2,2022,0,0,1,4,Growth,145.0,104.0,88.5,51.66881715954669,41.0,33.0,4.447142857142857,0.2857142857142857,144.85714285714286,7,1.676142695153695,145.02131164867194,1,1.1222293467900535,0.0
MI-006,2022-02-14,Retail,PL-Central,63,110.8,1,5.628,2.0,False,7,2,2022,0,0,1,4,Growth,92.0,103.0,77.25,30.32463245174348,-11.0,84.0,5.628,0.4,110.8,5,19.90317239016352,190.92165011192446,1,1.1360701051521667,0.0
MI-006,2022-02-14,E-commerce,PL-North,87,139.42857142857142,1,4.555714285714286,2.7142857142857144,False,7,2,2022,0,0,1,4,Growth,92.0,75.0,57.75,32.89756829919196,17.0,79.0,4.555714285714286,0.2857142857142857,139.42857142857142,7,8.742326282092488,159.9486062764115,1,1.1279718986907041,0.0
MI-006,2022-02-14,E-commerce,PL-South,103,168.57142857142858,1,5.134285714285714,2.571428571428572,False,7,2,2022,0,0,1,4,Growth,50.0,56.0,57.5,12.793227374930323,-6.0,59.0,5.134285714285714,0.1428571428571428,168.57142857142858,7,13.262381851271373,175.81788965802502,1,1.1324281130352827,0.0
MI-006,2022-02-14,Discount,PL-North,44,134.5,1,3.4075,2.75,False,7,2,2022,0,0,1,4,Growth,78.0,50.0,60.0,18.56520042085909,28.0,109.0,3.4075,0.25,134.5,4,3.7445126931108548,115.59252694920119,1,1.1003455967362985,0.0
MI-006,2022-02-14,Discount,PL-South,83,194.2,1,4.518,1.6,False,7,2,2022,0,0,1,4,Growth,38.0,72.0,62.25,23.30057223903882,-34.0,73.0,4.518,0.2,194.2,5,-1.1705812573636507,132.58956364201862,1,1.1141422052949774,0.0
MI-006,2022-02-14,Retail,PL-North,78,164.83333333333334,1,6.378333333333334,2.833333333333333,False,7,2,2022,0,0,1,4,Growth,98.0,59.0,61.5,37.84617990409776,39.0,80.0,6.378333333333334,0.1666666666666666,164.83333333333334,6,18.41181837458983,205.06934433703626,1,1.139149947417539,0.0
MI-006,2022-02-14,Retail,PL-South,75,165.5,0,4.418333333333334,2.6666666666666665,False,7,2,2022,0,0,1,4,Growth,63.0,117.0,67.0,45.335784247472034,-54.0,46.0,4.418333333333334,0.0,165.5,6,15.59225951538597,220.9213832954294,1,1.1418015367155219,0.0
MI-006,2022-02-21,Retail,PL-Central,84,148.14285714285714,1,5.982857142857143,2.857142857142857,False,8,2,2022,0,0,1,5,Growth,63.0,92.0,84.5,17.136705245369274,-29.0,70.0,5.982857142857143,0.2857142857142857,148.14285714285714,7,18.264552038041113,189.9724508796225,1,1.1360922904012525,0.0
MI-006,2022-02-21,Discount,PL-North,109,160.6,1,4.428,2.4,False,8,2,2022,0,0,1,5,Growth,44.0,78.0,61.25,16.760568804985905,-34.0,82.0,4.428,0.6,160.6,5,4.839024846933907,115.87836107616663,1,1.1004776104169256,0.0
MI-006,2022-02-21,Retail,PL-South,46,140.8,0,5.642,2.6,False,8,2,2022,0,0,1,5,Growth,75.0,63.0,83.75,23.286262044390032,12.0,112.0,5.642,0.0,140.8,5,14.835068474409479,222.08844277286994,1,1.1418181964415997,0.0
MI-006,2022-02-21,Retail,PL-North,80,141.6,1,5.354,4.0,False,8,2,2022,0,0,1,5,Growth,78.0,98.0,78.5,15.92691642053372,-20.0,117.0,5.354,0.2,141.6,5,20.303123474416605,204.37826244666277,1,1.1391689678659531,0.0
MI-006,2022-02-21,E-commerce,PL-Central,33,171.33333333333334,0,6.4366666666666665,4.0,False,8,2,2022,0,0,1,5,Growth,86.0,145.0,104.75,28.30047113859885,-59.0,100.0,6.4366666666666665,0.0,171.33333333333334,3,2.5781532242197667,147.001190685753,1,1.1222736435966447,0.0
MI-006,2022-02-21,Discount,PL-South,73,140.33333333333334,1,4.786666666666666,2.833333333333333,False,8,2,2022,0,0,1,5,Growth,83.0,38.0,60.5,20.631690833925045,45.0,96.0,4.786666666666666,0.1666666666666666,140.33333333333334,6,-0.5496897345559763,130.67963317321357,1,1.1142085403474975,0.0
MI-006,2022-02-21,E-commerce,PL-South,59,135.33333333333334,1,5.609999999999999,3.1666666666666665,False,8,2,2022,0,0,1,5,Growth,103.0,50.0,71.25,23.90780904502404,53.0,80.0,5.609999999999999,0.3333333333333333,135.33333333333334,6,11.518521962000957,175.47640952609754,1,1.1324547264789968,0.0
MI-006,2022-02-21,E-commerce,PL-North,79,176.85714285714286,0,4.774285714285715,3.571428571428572,False,8,2,2022,0,0,1,5,Growth,87.0,92.0,75.25,20.13909961575576,-5.0,87.0,4.774285714285715,0.0,176.85714285714286,7,5.070703143308164,158.32696753179312,1,1.1280051489061764,0.0
MI-006,2022-02-21,Discount,PL-Central,78,92.71428571428572,1,5.751428571428571,2.7142857142857144,False,8,2,2022,0,0,1,5,Growth,73.0,93.0,72.5,15.176736583776282,-20.0,106.0,5.751428571428571,0.2857142857142857,92.71428571428572,7,10.997970350796454,98.92988697394064,1,1.013862943611199,0.0
MI-006,2022-02-28,E-commerce,PL-South,80,172.66666666666666,0,4.6883333333333335,2.5,False,9,2,2022,0,0,1,6,Growth,59.0,103.0,67.0,24.28991560298224,-44.0,71.0,4.6883333333333335,0.0,172.66666666666666,6,10.929346763409601,174.29794844564248,1,1.1324813045559978,0.0
MI-006,2022-02-28,E-commerce,PL-North,87,180.4,1,4.970000000000001,3.4,False,9,2,2022,0,0,1,6,Growth,79.0,87.0,83.25,7.675719293112976,-8.0,73.0,4.970000000000001,0.2,180.4,5,6.657177159720819,161.46192150071397,1,1.1280383439345436,0.0
MI-006,2022-02-28,Retail,PL-South,112,170.71428571428572,1,5.724285714285714,4.285714285714286,False,9,2,2022,0,0,1,6,Growth,46.0,75.0,75.25,30.26962173533062,-29.0,61.0,5.724285714285714,0.2857142857142857,170.71428571428572,7,15.036539155623682,218.51401668776205,1,1.1418348423019031,0.0
MI-006,2022-02-28,Discount,PL-North,82,202.4,0,5.556,3.2,False,9,2,2022,0,0,1,6,Growth,109.0,44.0,70.25,29.78114616106416,65.0,53.0,5.556,0.0,202.4,5,4.33273119719456,114.64881428367147,1,1.1006087584278488,0.0
MI-006,2022-02-28,E-commerce,PL-Central,100,180.25,1,5.6425,4.5,False,9,2,2022,0,0,1,6,Growth,33.0,86.0,92.0,46.4399253516483,-53.0,80.0,5.6425,0.25,180.25,4,-0.8287514963574614,145.13933918618537,1,1.1223178425096607,0.0
MI-006,2022-02-28,Retail,PL-Central,70,127.5,1,3.928333333333333,3.5,False,9,2,2022,0,0,1,6,Growth,84.0,63.0,85.5,16.901676445449628,21.0,59.0,3.928333333333333,0.1666666666666666,127.5,6,18.27295589333881,191.71115493024735,1,1.1361144510683396,0.0
MI-006,2022-02-28,Discount,PL-Central,106,163.42857142857142,1,5.347142857142857,3.2857142857142856,False,9,2,2022,0,0,1,6,Growth,78.0,73.0,75.25,14.840822079655831,5.0,59.0,5.347142857142857,0.1428571428571428,163.42857142857142,7,13.364689450026617,98.39801956241999,1,1.0219722457733622,0.0
MI-006,2022-02-28,Retail,PL-North,117,163.42857142857142,1,5.864285714285714,4.571428571428571,False,9,2,2022,0,0,1,6,Growth,80.0,78.0,78.75,15.945218719101971,2.0,66.0,5.864285714285714,0.5714285714285714,163.42857142857142,7,20.66813402040464,205.37682087213938,1,1.1391879702426795,0.0
MI-006,2022-02-28,Discount,PL-South,96,185.0,1,4.7316666666666665,3.0,False,9,2,2022,0,0,1,6,Growth,73.0,83.0,66.5,19.638397762207248,-10.0,76.0,4.7316666666666665,0.1666666666666666,185.0,6,1.770777980830747,130.52579631658216,1,1.1142746561101873,0.0
MI-006,2022-03-07,Discount,PL-North,53,142.6,0,4.554,3.2,False,10,3,2022,0,0,0,7,Growth,82.0,109.0,78.25,26.663020584072363,-27.0,97.0,4.554,0.0,142.6,5,6.8023316753161405,114.48180111657769,1,1.1007390520482725,0.0
MI-006,2022-03-07,E-commerce,PL-North,73,127.0,0,4.471428571428572,3.142857142857143,False,10,3,2022,0,0,0,7,Growth,87.0,79.0,86.25,5.377421934967236,8.0,44.0,4.471428571428572,0.0,127.0,7,6.35280932089593,159.3942676991374,1,1.1280714839586963,0.0
MI-006,2022-03-07,Retail,PL-Central,59,160.6,0,4.884,2.2,False,10,3,2022,0,0,0,7,Growth,70.0,84.0,77.25,13.149778198382924,-14.0,75.0,4.884,0.0,160.6,5,19.40278527562202,188.84882430994844,1,1.1361365872078435,0.0
MI-006,2022-03-07,Discount,PL-Central,59,151.6,0,5.593999999999999,3.2,False,10,3,2022,0,0,0,7,Growth,106.0,78.0,87.5,14.977761292440652,28.0,88.0,5.593999999999999,0.0,151.6,5,15.830593655037394,100.84146272820479,1,1.0277258872223978,0.0
MI-006,2022-03-07,Retail,PL-North,66,140.33333333333334,0,5.086666666666667,2.5,False,10,3,2022,0,0,0,7,Growth,117.0,80.0,93.25,18.20942979154848,37.0,116.0,5.086666666666667,0.0,140.33333333333334,6,20.39101064873586,204.75331991541276,1,1.1392069545820263,0.0
MI-006,2022-03-07,Retail,PL-South,61,133.66666666666666,1,4.86,3.1666666666666665,False,10,3,2022,0,0,0,7,Growth,112.0,46.0,74.0,27.988092706244444,66.0,100.0,4.86,0.1666666666666666,133.66666666666666,6,16.814672836956444,218.32007561486094,1,1.1418514743194936,0.0
MI-006,2022-03-07,E-commerce,PL-Central,80,146.28571428571428,1,4.771428571428571,2.7142857142857144,False,10,3,2022,0,0,0,7,Growth,100.0,33.0,91.0,46.13747572924495,67.0,67.0,4.771428571428571,0.1428571428571428,146.28571428571428,7,1.0466515990162448,144.59159323308955,1,1.122361943960827,0.0
MI-006,2022-03-07,E-commerce,PL-South,71,125.16666666666669,1,4.788333333333333,3.6666666666666665,False,10,3,2022,0,0,0,7,Growth,80.0,59.0,73.0,23.622023622035435,21.0,150.0,4.788333333333333,0.3333333333333333,125.16666666666669,6,12.785829497465073,174.43033691872532,1,1.132507847360159,0.0
MI-006,2022-03-07,Discount,PL-South,76,163.83333333333334,0,5.246666666666667,2.5,False,10,3,2022,0,0,0,7,Growth,96.0,73.0,72.5,24.85290056847825,23.0,140.0,5.246666666666667,0.0,163.83333333333334,6,2.0609951416180743,130.49438430157736,1,1.1143405540281244,0.0
MI-006,2022-03-14,E-commerce,PL-Central,67,116.33333333333331,1,6.863333333333333,4.333333333333333,False,11,3,2022,0,0,0,8,Growth,80.0,100.0,74.75,29.0674502952472,-20.0,149.0,6.863333333333333,0.1666666666666666,116.33333333333331,6,-0.7224751685391945,143.88628560738718,1,1.122405948379019,0.0
MI-006,2022-03-14,Discount,PL-South,140,128.85714285714286,1,5.694285714285714,3.7142857142857135,False,11,3,2022,0,0,0,8,Growth,76.0,96.0,82.0,10.23067283548187,-20.0,152.0,5.694285714285714,0.5714285714285714,128.85714285714286,7,1.73880895011719,130.0468337071893,1,1.1144062355321482,0.0
MI-006,2022-03-14,Retail,PL-South,100,120.57142857142856,1,5.607142857142857,2.571428571428572,False,11,3,2022,0,0,0,8,Growth,61.0,112.0,73.5,28.26658805020514,-51.0,124.0,5.607142857142857,0.1428571428571428,120.57142857142856,7,18.30005452526552,222.1709651753718,1,1.1418680925173754,0.0
