sku,channel,region,date,units_sold,delivered_qty,price_unit,stock_available,promotion_flag,delivery_days
JU-021,Discount,PL-Central,2022-07-11,159,1048,5.06,162.66666666666666,0.16666666666666666,3.5
JU-021,Discount,PL-Central,2022-07-18,149,871,3.522,163.6,0.4,2.8
JU-021,Discount,PL-Central,2022-07-25,99,944,4.556666666666667,143.16666666666666,0.0,2.8333333333333335
JU-021,Discount,PL-Central,2022-08-01,122,1052,4.94,157.33333333333334,0.3333333333333333,4.5
JU-021,Discount,PL-Central,2022-08-08,130,961,4.382,158.8,0.6,3.0
JU-021,Discount,PL-Central,2022-08-15,81,885,7.614,149.8,0.0,4.0
JU-021,Discount,PL-Central,2022-08-22,72,702,4.1525,151.5,0.0,2.5
JU-021,Discount,PL-Central,2022-08-29,125,797,3.9399999999999995,134.0,0.3333333333333333,3.1666666666666665
JU-021,Discount,PL-Central,2022-09-05,176,1078,5.03,176.5,0.0,4.0
JU-021,Discount,PL-Central,2022-09-12,172,1313,5.337142857142857,153.42857142857142,0.0,3.5714285714285716
JU-021,Discount,PL-Central,2022-09-19,100,940,5.375,128.83333333333334,0.0,4.5
JU-021,Discount,PL-Central,2022-09-26,172,1086,6.080000000000001,164.66666666666666,0.3333333333333333,2.6666666666666665
JU-021,Discount,PL-Central,2022-10-03,101,1239,4.154285714285714,130.0,0.0,3.4285714285714284
JU-021,Discount,PL-Central,2022-10-10,114,703,3.7725,171.0,0.5,2.75
JU-021,Discount,PL-Central,2022-10-17,139,1184,4.598571428571428,145.57142857142858,0.14285714285714285,3.0
JU-021,Discount,PL-Central,2022-10-24,124,832,5.68,186.0,0.25,2.75
JU-021,Discount,PL-Central,2022-10-31,110,1318,5.708571428571429,133.0,0.14285714285714285,2.7142857142857144
JU-021,Discount,PL-Central,2022-11-07,79,852,5.736,122.4,0.0,4.4
JU-021,Discount,PL-Central,2022-11-14,94,957,6.668000000000001,170.2,0.0,2.0
JU-021,Discount,PL-Central,2022-11-21,112,1052,5.371666666666667,137.83333333333334,0.16666666666666666,3.6666666666666665
JU-021,Discount,PL-Central,2022-11-28,142,1330,4.075714285714286,175.14285714285714,0.0,3.2857142857142856
JU-021,Discount,PL-Central,2022-12-05,124,1006,6.91,169.66666666666666,0.3333333333333333,3.5
JU-021,Discount,PL-Central,2022-12-12,84,1029,4.196,158.0,0.2,2.6
JU-021,Discount,PL-Central,2022-12-19,115,1087,5.972857142857143,146.42857142857142,0.2857142857142857,3.857142857142857
JU-021,Discount,PL-Central,2022-12-26,137,1223,5.7457142857142856,182.0,0.0,2.142857142857143
JU-021,Discount,PL-Central,2023-01-02,50,633,5.0825,131.5,0.0,2.75
JU-021,Discount,PL-Central,2023-01-09,98,1213,4.37,143.85714285714286,0.0,2.7142857142857144
JU-021,Discount,PL-Central,2023-01-16,96,1389,4.935714285714286,181.71428571428572,0.0,2.2857142857142856
JU-021,Discount,PL-Central,2023-01-23,57,786,3.6125000000000003,203.0,0.0,3.0
JU-021,Discount,PL-Central,2023-01-30,97,844,4.194,154.4,0.2,4.2
JU-021,Discount,PL-Central,2023-02-06,84,946,5.506666666666667,145.5,0.16666666666666666,3.0
JU-021,Discount,PL-Central,2023-02-13,114,1283,5.585,166.66666666666666,0.3333333333333333,2.8333333333333335
JU-021,Discount,PL-Central,2023-02-20,100,754,3.86,169.75,0.25,1.75
JU-021,Discount,PL-Central,2023-02-27,100,1064,5.374285714285714,158.14285714285714,0.0,2.857142857142857
JU-021,Discount,PL-Central,2023-03-06,105,1100,5.33,162.66666666666666,0.0,3.3333333333333335
JU-021,Discount,PL-Central,2023-03-13,83,1253,6.298571428571429,121.57142857142857,0.0,2.857142857142857
JU-021,Discount,PL-Central,2023-03-20,88,830,4.806,148.6,0.2,3.4
JU-021,Discount,PL-Central,2023-03-27,174,1240,4.2700000000000005,204.5,0.3333333333333333,3.5
JU-021,Discount,PL-Central,2023-04-03,107,1189,5.458333333333333,160.16666666666666,0.0,3.3333333333333335
