sku,week,channel,region,units_sold,stock_available,promotion_flag,price_unit,delivery_days,is_holiday_peak,week_number,month,year,is_holiday_week,is_summer,is_winter,sku_age,lifecycle_stage,lag_1,lag_2,rolling_mean_4,rolling_std_4,momentum,target_next_week
JU-021,2022-08-08,Discount,PL-Central,130,158.8,1,4.382,3.0,False,32,8,2022,0,1,0,4,Growth,122.0,99.0,132.25,27.121639576790578,23.0,81.0
JU-021,2022-08-15,Discount,PL-Central,81,149.8,0,7.614,4.0,False,33,8,2022,0,1,0,5,Growth,130.0,122.0,125.0,20.704266871026036,8.0,72.0
JU-021,2022-08-22,Discount,PL-Central,72,151.5,0,4.1525,2.5,False,34,8,2022,0,1,0,6,Growth,81.0,130.0,108.0,22.28601953392903,-49.0,125.0
JU-021,2022-08-29,Discount,PL-Central,125,134.0,1,3.9399999999999995,3.1666666666666665,False,35,8,2022,0,1,0,7,Growth,72.0,81.0,101.25,28.998563182796943,-9.0,176.0
JU-021,2022-09-05,Discount,PL-Central,176,176.5,0,5.03,4.0,False,36,9,2022,0,0,0,8,Growth,125.0,72.0,102.0,29.74334659493895,53.0,172.0
JU-021,2022-09-12,Discount,PL-Central,172,153.42857142857142,0,5.337142857142857,3.5714285714285716,False,37,9,2022,0,0,0,9,Growth,176.0,125.0,113.5,47.668997612004944,51.0,100.0
JU-021,2022-09-19,Discount,PL-Central,100,128.83333333333334,0,5.375,4.5,False,38,9,2022,0,0,0,10,Growth,172.0,176.0,136.25,48.692059585384825,-4.0,172.0
JU-021,2022-09-26,Discount,PL-Central,172,164.66666666666666,1,6.080000000000001,2.6666666666666665,False,39,9,2022,0,0,0,11,Growth,100.0,172.0,143.25,36.98085090061251,-72.0,101.0
JU-021,2022-10-03,Discount,PL-Central,101,130.0,0,4.154285714285714,3.4285714285714284,False,40,10,2022,0,0,0,12,Growth,172.0,100.0,155.0,36.71511950137164,72.0,114.0
JU-021,2022-10-10,Discount,PL-Central,114,171.0,1,3.7725,2.75,False,41,10,2022,0,0,0,13,Mature,101.0,172.0,136.25,41.28256290493603,-71.0,139.0
JU-021,2022-10-17,Discount,PL-Central,139,145.57142857142858,1,4.598571428571428,3.0,False,42,10,2022,0,0,0,14,Mature,114.0,101.0,121.75,34.10156399150436,13.0,124.0
JU-021,2022-10-24,Discount,PL-Central,124,186.0,1,5.68,2.75,False,43,10,2022,1,0,0,15,Mature,139.0,114.0,131.5,31.267661675710045,25.0,110.0
JU-021,2022-10-31,Discount,PL-Central,110,133.0,1,5.708571428571429,2.7142857142857144,True,44,10,2022,1,0,0,16,Mature,124.0,139.0,119.5,16.051998837112677,-15.0,79.0
JU-021,2022-11-07,Discount,PL-Central,79,122.4,0,5.736,4.4,False,45,11,2022,0,0,0,17,Mature,110.0,124.0,121.75,12.919623317522328,-14.0,94.0
JU-021,2022-11-14,Discount,PL-Central,94,170.2,0,6.668000000000001,2.0,False,46,11,2022,0,0,0,18,Mature,79.0,110.0,113.0,25.573423705088842,-31.0,112.0
JU-021,2022-11-21,Discount,PL-Central,112,137.83333333333334,1,5.371666666666667,3.6666666666666665,False,47,11,2022,0,0,0,19,Mature,94.0,79.0,101.75,19.5,15.0,142.0
JU-021,2022-11-28,Discount,PL-Central,142,175.14285714285714,0,4.075714285714286,3.2857142857142856,False,48,11,2022,0,0,0,20,Mature,112.0,94.0,98.75,15.435349040433127,18.0,124.0
JU-021,2022-12-05,Discount,PL-Central,124,169.66666666666666,1,6.91,3.5,False,49,12,2022,0,0,1,21,Mature,142.0,112.0,106.75,27.097047809678454,30.0,84.0
JU-021,2022-12-12,Discount,PL-Central,84,158.0,1,4.196,2.6,False,50,12,2022,0,0,1,22,Mature,124.0,142.0,118.0,20.19900987672415,-18.0,115.0
JU-021,2022-12-19,Discount,PL-Central,115,146.42857142857142,1,5.972857142857143,3.857142857142857,True,51,12,2022,1,0,1,23,Mature,84.0,124.0,115.5,24.35159132377184,-40.0,137.0
JU-021,2022-12-26,Discount,PL-Central,137,182.0,0,5.7457142857142856,2.142857142857143,True,52,12,2022,1,0,1,24,Mature,115.0,84.0,116.25,24.253865671269804,31.0,50.0
JU-021,2023-01-02,Discount,PL-Central,50,131.5,0,5.0825,2.75,False,1,1,2023,0,0,1,25,Mature,137.0,115.0,115.0,22.553639765383025,22.0,98.0
JU-021,2023-01-09,Discount,PL-Central,98,143.85714285714286,0,4.37,2.7142857142857144,False,2,1,2023,0,0,1,26,Mature,50.0,137.0,96.5,37.863790970618176,-87.0,96.0
JU-021,2023-01-16,Discount,PL-Central,96,181.71428571428572,0,4.935714285714286,2.2857142857142856,False,3,1,2023,0,0,1,27,Mature,98.0,50.0,100.0,36.959437225152655,48.0,57.0
JU-021,2023-01-23,Discount,PL-Central,57,203.0,0,3.6125000000000003,3.0,False,4,1,2023,0,0,1,28,Mature,96.0,98.0,95.25,35.58440669731617,-2.0,97.0
JU-021,2023-01-30,Discount,PL-Central,97,154.4,1,4.194,4.2,False,5,1,2023,0,0,1,29,Mature,57.0,96.0,75.25,25.289984842489197,-39.0,84.0
JU-021,2023-02-06,Discount,PL-Central,84,145.5,1,5.506666666666667,3.0,False,6,2,2023,0,0,1,30,Mature,97.0,57.0,87.0,20.016659728003233,40.0,114.0
JU-021,2023-02-13,Discount,PL-Central,114,166.66666666666666,1,5.585,2.8333333333333335,False,7,2,2023,0,0,1,31,Mature,84.0,97.0,83.5,18.62793601019715,-13.0,100.0
JU-021,2023-02-20,Discount,PL-Central,100,169.75,1,3.86,1.75,False,8,2,2023,0,0,1,32,Mature,114.0,84.0,88.0,24.041630560342615,30.0,100.0
JU-021,2023-02-27,Discount,PL-Central,100,158.14285714285714,0,5.374285714285714,2.857142857142857,False,9,2,2023,0,0,1,33,Mature,100.0,114.0,98.75,12.311918344975052,-14.0,105.0
JU-021,2023-03-06,Discount,PL-Central,105,162.66666666666666,0,5.33,3.3333333333333335,False,10,3,2023,0,0,0,34,Mature,100.0,100.0,99.5,12.261049438499676,0.0,83.0
JU-021,2023-03-13,Discount,PL-Central,83,121.57142857142857,0,6.298571428571429,2.857142857142857,False,11,3,2023,0,0,0,35,Mature,105.0,100.0,104.75,6.601767440112774,5.0,88.0
JU-021,2023-03-20,Discount,PL-Central,88,148.6,1,4.806,3.4,False,12,3,2023,0,0,0,36,Mature,83.0,105.0,97.0,9.62635271879576,-22.0,174.0
JU-021,2023-03-27,Discount,PL-Central,174,204.5,1,4.2700000000000005,3.5,False,13,3,2023,0,0,0,37,Mature,88.0,83.0,94.0,10.230672835481863,5.0,107.0
JU-021,2023-04-03,Discount,PL-Central,107,160.16666666666666,0,5.458333333333333,3.3333333333333335,True,14,4,2023,1,0,0,38,Mature,174.0,88.0,112.5,42.067406226990826,86.0,91.0
JU-021,2023-04-10,Discount,PL-Central,91,132.0,0,4.082,3.0,False,15,4,2023,0,0,0,39,Mature,107.0,174.0,113.0,41.960298696108765,-67.0,167.0
JU-021,2023-04-17,Discount,PL-Central,167,162.33333333333334,1,6.364999999999999,2.5,False,16,4,2023,0,0,0,40,Mature,91.0,107.0,115.0,40.2077936060494,-16.0,104.0
JU-021,2023-04-24,Discount,PL-Central,104,174.6,0,4.34,2.8,True,17,4,2023,1,0,0,41,Mature,167.0,91.0,134.75,41.891725515508035,76.0,148.0
JU-021,2023-05-01,Discount,PL-Central,148,156.0,1,4.521666666666667,3.1666666666666665,True,18,5,2023,1,0,0,42,Mature,104.0,167.0,117.25,33.88583774971485,-63.0,131.0
JU-021,2023-05-08,Discount,PL-Central,131,175.8,1,5.287999999999999,2.8,False,19,5,2023,0,0,0,43,Mature,148.0,104.0,127.5,35.89336057453151,44.0,107.0
JU-021,2023-05-15,Discount,PL-Central,107,128.66666666666666,0,5.0183333333333335,2.6666666666666665,False,20,5,2023,0,0,0,44,Mature,131.0,148.0,137.5,26.739483914241877,-17.0,97.0
JU-021,2023-05-22,Discount,PL-Central,97,173.75,0,7.505000000000001,2.5,False,21,5,2023,0,0,0,45,Mature,107.0,131.0,122.5,20.856653614614217,-24.0,85.0
JU-021,2023-05-29,Discount,PL-Central,85,166.0,0,5.5,2.25,False,22,5,2023,0,0,0,46,Mature,97.0,107.0,120.75,23.09942279221136,-10.0,146.0
JU-021,2023-06-05,Discount,PL-Central,146,176.33333333333334,0,7.028333333333333,3.1666666666666665,False,23,6,2023,0,1,0,47,Mature,85.0,97.0,105.0,19.527758021169088,-12.0,204.0
